公开号,名称,关系
CN101225743A,成都博通专利事务所,代理
CN101899984A,成都博通专利事务所,代理
CN102114861A,北京华科联合专利事务所,代理
CN105427512A,天津中环专利商标代理有限公司,代理
CN103326974A,西安通大专利代理有限责任公司,代理
CN202735798U,济南圣达知识产权代理有限公司,代理
CN104969346A,上海专利商标事务所有限公司,代理
CN103837125A,洛阳市凯旋专利事务所,代理
CN101892848A,成都博通专利事务所,代理
CN201345769Y,浙江翔隆专利事务所,代理
CN103692955A,北京三聚阳光知识产权代理有限公司,代理
CN104452811A,广州市华学知识产权代理有限公司,代理
CN102610055A,大连东方专利代理有限责任公司,代理
CN104707727A,江西省专利事务所,代理
CN201539783U,武汉天力专利事务所,代理
CN105425682A,天津中环专利商标代理有限公司,代理
CN201706343U,宜昌市三峡专利事务所,代理
CN105139603A,北京品源专利代理有限公司,代理
CN101509389A,成都博通专利事务所,代理
CN101235723A,成都博通专利事务所,代理
CN101235724A,成都博通专利事务所,代理
CN203848828U,上海精晟知识产权代理有限公司,代理
CN102053136A,北京东方汇众知识产权代理事务所(普通合伙),代理
CN103875214A,北京市金杜律师事务所,代理
CN204661469U,济南圣达知识产权代理有限公司,代理
CN105095598A,西安新思维专利商标事务所有限公司,代理
CN203659514U,济南圣达知识产权代理有限公司,代理
CN203722669U,济南圣达知识产权代理有限公司,代理
CN204731977U,江西省专利事务所,代理
CN203181282U,杭州天欣专利事务所,代理
CN101225744A,成都博通专利事务所,代理
CN105082180A,杭州华鼎知识产权代理事务所(普通合伙),代理
CN203149799U,天津盛理知识产权代理有限公司,代理
CN102606212A,济南圣达知识产权代理有限公司,代理
CN101695168A,苏州创元专利商标事务所有限公司,代理
CN103863355A,南京理工大学专利中心,代理
CN104615055A,贵阳中工知识产权代理事务所,代理
CN104533499A,贵阳中工知识产权代理事务所,代理
CN203280940U,北京天奇智新知识产权代理有限公司,代理
CN203500979U,北京一格知识产权代理事务所(普通合伙),代理
CN105898745A,深圳市世纪恒程知识产权代理事务所,代理
CN201225933Y,成都博通专利事务所,代理
CN201225934Y,成都博通专利事务所,代理
CN104179514A,上海科盛知识产权代理有限公司,代理
CN105096603A,天津市三利专利商标代理有限公司,代理
CN102379912A,福州元创专利商标代理有限公司,代理
CN202603006U,厦门市诚得知识产权代理事务所,代理
CN105446377A,重庆市前沿专利事务所(普通合伙),代理
CN1584290A,上海交达专利事务所,代理
CN103116996A,长沙丁卯专利代理事务所(普通合伙),代理
CN103850647A,西安创知专利事务所,代理
CN105246231A,济南圣达知识产权代理有限公司,代理
CN201818317U,长春吉大专利代理有限责任公司,代理
CN105422143A,成都天嘉专利事务所(普通合伙),代理
CN105787206A,上海浦东良风专利代理有限责任公司,代理
CN103988478A,北京市金杜律师事务所,代理
CN103826373A,西安智大知识产权代理事务所,代理
CN106460167A,北京派特恩知识产权代理有限公司,代理
CN1842071A,北京同达信恒知识产权代理有限公司,代理
CN103391665A,华中科技大学专利中心,代理
CN104680616A,北京世誉鑫诚专利代理事务所(普通合伙),代理
CN104359457A,西安通大专利代理有限责任公司,代理
CN104717141A,中国国际贸易促进委员会专利商标事务所,代理
CN105699392A,深圳市神州联合知识产权代理事务所(普通合伙),代理
CN104508422A,北京润平知识产权代理有限公司,代理
CN107005565A,北京律盟知识产权代理有限责任公司,代理
CN201805589U,永康市联缙专利事务所(普通合伙),代理
CN205153954U,天津市三利专利商标代理有限公司,代理
CN102763097A,中国专利代理(香港)有限公司,代理
CN203149387U,北京五月天专利商标代理有限公司,代理
CN203934026U,杭州新源专利事务所(普通合伙),代理
CN202523221U,江西省专利事务所,代理
CN105204475A,北京世誉鑫诚专利代理事务所(普通合伙),代理
CN201270517Y,上海天翔知识产权代理有限公司,代理
CN204894187U,广州粤高专利商标代理有限公司,代理
CN203989626U,宜兴市天宇知识产权事务所(普通合伙),代理
CN101666579A,鞍山大千专利事务所,代理
CN1921438A,广州三环专利代理有限公司,代理
CN203963513U,宜兴市天宇知识产权事务所(普通合伙),代理
CN204457793U,南京苏高专利商标事务所(普通合伙),代理
CN203989627U,宜兴市天宇知识产权事务所(普通合伙),代理
CN202938162U,北京天奇智新知识产权代理有限公司,代理
CN105167460A,广州粤高专利商标代理有限公司,代理
CN105934322A,中国国际贸易促进委员会专利商标事务所,代理
CN106143511A,杭州浙科专利事务所(普通合伙),代理
CN205378086U,天津市三利专利商标代理有限公司,代理
CN102636166A,南京经纬专利商标代理有限公司,代理
CN203949636U,武汉河山金堂专利事务所,代理
CN203669441U,南京天翼专利代理有限责任公司,代理
CN201527696U,广州新诺专利商标事务所有限公司,代理
CN204922677U,北京隆源天恒知识产权代理事务所(普通合伙),代理
CN103061774A,成都博通专利事务所,代理
CN201138451Y,华中科技大学专利中心,代理
CN202337923U,天津才智专利商标代理有限公司,代理
CN201954398U,贵阳中新专利商标事务所,代理
CN103380640A,北京东方亿思知识产权代理有限责任公司,代理
CN201964649U,郑州天阳专利事务所(普通合伙),代理
CN203142700U,上海汉声知识产权代理有限公司,代理
CN105100757A,天津市三利专利商标代理有限公司,代理
CN105185023A,天津市三利专利商标代理有限公司,代理
CN203867574U,成都博通专利事务所,代理
CN105701611A,北京冠和权律师事务所,代理
CN101969643A,北京工信联合知识产权代理事务所(普通合伙),代理
CN103530664A,上海金盛协力知识产权代理有限公司,代理
CN205153831U,天津市三利专利商标代理有限公司,代理
CN103473641A,上海金盛协力知识产权代理有限公司,代理
CN203519608U,成都博通专利事务所,代理
CN102602422A,江苏圣典律师事务所,代理
CN101822082A,北京润平知识产权代理有限公司,代理
CN102840883A,南京瑞弘专利商标事务所(普通合伙),代理
CN203597280U,扬州苏中专利事务所(普通合伙),代理
CN105019482A,北京同恒源知识产权代理有限公司,代理
CN204341018U,成都弘毅天承知识产权代理有限公司,代理
CN204651825U,烟台双联专利事务所(普通合伙),代理
CN205243538U,成都天嘉专利事务所(普通合伙),代理
CN105610665A,北京国智京通知识产权代理有限公司,代理
CN105178825A,天津市三利专利商标代理有限公司,代理
CN102777187A,济南泉城专利商标事务所,代理
CN202654994U,北京中恒高博知识产权代理有限公司,代理
CN204518171U,北京科亿知识产权代理事务所(普通合伙),代理
CN102750752A,济南圣达知识产权代理有限公司,代理
CN202673366U,甘肃省知识产权事务中心,代理
CN101419441A,上海浦一知识产权代理有限公司,代理
CN102598626A,中国专利代理(香港)有限公司,代理
CN104968154A,东莞市中正知识产权事务所,代理
CN103575255A,成都信博专利代理有限责任公司,代理
CN104618867A,济南圣达知识产权代理有限公司,代理
CN202990843U,西安创知专利事务所,代理
CN101713975A,北京中原华和知识产权代理有限责任公司,代理
CN202325622U,杭州中平专利事务所有限公司,代理
CN106899628A,上海一平知识产权代理有限公司,代理
CN101426126A,上海浦一知识产权代理有限公司,代理
CN202138964U,长沙永星专利商标事务所,代理
CN201681294U,温州金瓯专利事务所(普通合伙),代理
CN106999257A,北京市金杜律师事务所,代理
CN101453327A,信息产业部电子专利中心,代理
CN102799182A,南京知识律师事务所,代理
CN202883019U,甘肃省知识产权事务中心,代理
CN203387739U,深圳力拓知识产权代理有限公司,代理
CN202132057U,西安恒泰知识产权代理事务所,代理
CN202731995U,甘肃省知识产权事务中心,代理
CN202883018U,甘肃省知识产权事务中心,代理
CN104584479A,北京市中咨律师事务所,代理
CN203476394U,太原科卫专利事务所(普通合伙),代理
CN103797888A,中国专利代理(香港)有限公司,代理
CN101388247A,中国专利代理(香港)有限公司,代理
CN204788473U,合肥天明专利事务所,代理
CN202176337U,长沙永星专利商标事务所,代理
CN102883431A,重庆市前沿专利事务所,代理
CN202696986U,西安恒泰知识产权代理事务所,代理
CN1963459A,南京经纬专利商标代理有限公司,代理
CN203797596U,北京海虹嘉诚知识产权代理有限公司,代理
CN105329834A,重庆市前沿专利事务所(普通合伙),代理
CN103197644A,北京天奇智新知识产权代理有限公司,代理
CN104918366A,济南舜源专利事务所有限公司,代理
CN103839369A,北京远大卓悦知识产权代理事务所(普通合伙),代理
CN102797504A,甘肃省知识产权事务中心,代理
CN105836359A,广州市越秀区海心联合专利代理事务所(普通合伙),代理
CN106415568A,北京天昊联合知识产权代理有限公司,代理
CN104079238A,重庆博凯知识产权代理有限公司,代理
CN103791849A,武汉金堂专利事务所,代理
CN202204538U,青岛发思特专利商标代理有限公司,代理
CN202720517U,南京知识律师事务所,代理
CN101605695A,中科专利商标代理有限责任公司,代理
CN103953349A,成都博通专利事务所,代理
CN106869756A,天津市三利专利商标代理有限公司,代理
CN102595679A,南昌市平凡知识产权代理事务所,代理
CN204423583U,江西省专利事务所,代理
CN105450521A,工业和信息化部电子专利中心,代理
CN204231536U,济南泉城专利商标事务所,代理
CN103852111A,天津市北洋有限责任专利代理事务所,代理
CN103122769A,青岛发思特专利商标代理有限公司,代理
CN204795707U,济南舜源专利事务所有限公司,代理
CN204014075U,成都虹桥专利事务所(普通合伙),代理
CN104382074A,南昌市平凡知识产权代理事务所,代理
CN203114322U,青岛发思特专利商标代理有限公司,代理
CN203066983U,成都博通专利事务所,代理
CN103076624A,济南圣达知识产权代理有限公司,代理
CN2911606Y,北京同立钧成知识产权代理有限公司,代理
CN104829012A,济南圣达知识产权代理有限公司,代理
