公开号,名称,关系
CN101225743A,西南交通大学,申请
CN205106095U,山东化氏鱼饵有限公司,申请
CN101899984A,西南交通大学,申请
CN102114861A,魏敏吉,申请
CN102114861A,孙运吉,申请
CN104164892A,枣庄力源电力设计有限公司,申请
CN104164892A,国家电网公司,申请
CN104164892A,国网山东省电力公司枣庄供电公司,申请
CN105427512A,天津市顺通电子有限公司,申请
CN103326974A,长安大学,申请
CN202735798U,山东康威通信技术股份有限公司,申请
CN104969346A,高通股份有限公司,申请
CN103837125A,中铁隧道集团有限公司,申请
CN101892848A,西南交通大学,申请
CN104501610A,山东理工大学,申请
CN201345769Y,汪正林,申请
CN201345769Y,李浩,申请
CN201345769Y,吴巨芳,申请
CN103692955A,中国科学院深圳先进技术研究院,申请
CN104452811A,华南理工大学,申请
CN102610055A,大连海事大学,申请
CN104707727A,华东交通大学,申请
CN201539783U,郭桂华,申请
CN105425682A,天津市顺通电子有限公司,申请
CN201706343U,李超,申请
CN201706343U,宜昌劲森照明电子有限公司,申请
CN105139603A,华中科技大学无锡研究院,申请
CN101509389A,西南交通大学,申请
CN101235723A,西南交通大学,申请
CN204375165U,丘泓鲲,申请
CN101235724A,西南交通大学,申请
CN1458285A,郑国雄,申请
CN203848828U,上海誉煊电子技术有限公司,申请
CN102053136A,北京科技大学,申请
CN102053136A,北京联合大学,申请
CN103875214A,马维尔国际贸易有限公司,申请
CN204661469U,中铁十四局集团第五工程有限公司,申请
CN105589422A,天津宏通盛富科技有限公司,申请
CN105095598A,中铁第一勘察设计院集团有限公司,申请
CN202197429U,重庆瑞升康博电气有限公司,申请
CN203659514U,山东大学,申请
CN203722669U,山东康威通信技术股份有限公司,申请
CN204731977U,张逸伦,申请
CN203181282U,浙江省机电设计研究院有限公司,申请
CN101225744A,西南交通大学,申请
CN105082180A,杭州华能大坝安全工程技术有限公司,申请
CN203149799U,天津市建筑科学研究院有限公司,申请
CN102606212A,山东大学,申请
CN101695168A,苏州汉明科技有限公司,申请
CN103863355A,南京理工大学,申请
CN104615055A,贵州现代物流工程技术研究有限责任公司,申请
CN104533499A,贵州现代物流工程技术研究有限责任公司,申请
CN102602431A,王大伟,申请
CN203280940U,成都慧拓自动控制技术有限公司,申请
CN102490902A,重庆兆迈机械技术研发有限公司,申请
CN204887535U,陕西新航线交通科技有限公司,申请
CN204877793U,四川太一新能源开发有限公司,申请
CN203500979U,南通源瑞电子有限公司,申请
CN105898745A,深圳市信锐网科技术有限公司,申请
CN201225933Y,西南交通大学,申请
CN201225934Y,西南交通大学,申请
CN104179514A,同济大学,申请
CN102493706A,文怡,申请
CN204466012U,武汉万集信息技术有限公司,申请
CN102514738A,重庆高卓动漫有限公司,申请
CN105096603A,天津艾思科尔科技有限公司,申请
CN102379912A,北京同仁堂健康药业（福州）有限公司,申请
CN202603006U,福建中源合纵节能科技有限公司,申请
CN105446377A,重庆恒宇华顿新能源开发有限公司,申请
CN1584290A,上海市第二市政工程有限公司,申请
CN205283878U,南通杰宁照明电器有限公司,申请
CN103116996A,中南大学,申请
CN103850647A,西安众智惠泽光电科技有限公司,申请
CN105246231A,泰华智慧产业集团股份有限公司,申请
CN201818317U,吉林大学,申请
CN105422143A,德阳思远重工有限公司,申请
CN105787206A,上海同岩土木工程科技有限公司,申请
CN105787206A,同济大学,申请
CN105787206A,贵州省交通规划勘察设计研究院股份有限公司,申请
CN105787206A,贵州独平高速公路有限公司,申请
CN103988478A,马维尔国际贸易有限公司,申请
CN104392630A,天津艾思科尔科技有限公司,申请
CN203888182U,诸暨市亿霸龙保温材料有限公司,申请
CN103826373A,陕西科技大学,申请
CN106460167A,3D-奥克赛茨公司,申请
CN1842071A,华为技术有限公司,申请
CN205183304U,成都点金机械铸造技术开发有限公司,申请
CN104837264A,安徽省德诺电子科技有限公司,申请
CN103391665A,交科院（北京）交通技术有限公司,申请
CN103391665A,武汉飞脉科技有限责任公司,申请
CN104680616A,山东科技大学,申请
CN104359457A,西安建筑科技大学,申请
CN104717141A,中国电信股份有限公司,申请
CN204241920U,北京兴迪仪器有限责任公司,申请
CN105699392A,深圳市麦克斯泰有限公司,申请
CN106132038A,西安理想华夏科技创新有限公司,申请
CN102891299A,陈胜友,申请
CN102891299A,张丽,申请
CN102891299A,童祥,申请
CN102891299A,黎军,申请
CN105501192A,南京汉依德曼机器人科技有限公司,申请
CN104508422A,赛创尼克株式会社,申请
CN107005565A,比特梵德知识产权管理有限公司,申请
CN201805589U,杭州恩迪照明科技有限公司,申请
CN203561873U,安徽皖通科技股份有限公司,申请
CN205153954U,天津港峰铝塑门窗制品有限公司,申请
CN205153954U,天津创世经纬科技有限公司,申请
CN102763097A,美国索尼电脑娱乐有限责任公司,申请
CN203149387U,昆明联诚科技有限公司,申请
CN203934026U,浙江高速信息工程技术有限公司,申请
CN202523221U,郭顺平,申请
CN105204475A,西安思源学院,申请
CN201270517Y,上海神剑铁路通信信号有限公司,申请
CN204894187U,中材株洲虹波有限公司,申请
CN203989626U,宜兴市双人仪器仪表有限公司,申请
CN101666579A,袁奕明,申请
CN1921438A,深圳市深信服电子科技有限公司,申请
CN203963513U,宜兴市双人仪器仪表有限公司,申请
CN204457793U,东南大学,申请
CN204457793U,北京市地铁建筑安装工程公司,申请
CN204457793U,北京特希达科技有限公司,申请
CN203989627U,宜兴市双人仪器仪表有限公司,申请
CN202938162U,翁茂明,申请
CN105167460A,杭恒祥,申请
CN202033052U,保定华电电气有限公司,申请
CN105934322A,弗劳恩霍夫应用研究促进协会,申请
CN105934322A,OMYA国际股份公司,申请
CN104820894A,黄日芳,申请
CN106143511A,赵跃,申请
CN205378086U,天津艾思科尔科技有限公司,申请
CN102636166A,东南大学,申请
CN204887536U,陕西新航线交通科技有限公司,申请
CN203949636U,武汉长澳大地工程有限公司,申请
CN203669441U,张政山,申请
CN201527696U,广州地铁设计研究院有限公司,申请
CN101848237A,秦野,申请
CN204922677U,深圳市倍盛鸿照明有限公司,申请
CN103125621A,广东宏伟集团有限公司,申请
CN103061774A,西南交通大学,申请
CN201138451Y,华中科技大学,申请
CN202337923U,川铁电气（天津）集团有限公司,申请
CN201954398U,贵州大学,申请
CN103380640A,思科技术公司,申请
CN201964649U,王少勇,申请
CN203142700U,上海殷浩电子科技股份有限公司,申请
CN105100757A,天津艾思科尔科技有限公司,申请
CN105185023A,天津艾思科尔科技有限公司,申请
CN203867574U,西南交通大学,申请
CN105701611A,赵修林,申请
CN101969643A,国家无线电监测中心检测中心,申请
CN103530664A,上海大学,申请
CN204440081U,中交一公局第一工程有限公司,申请
CN205153831U,天津港峰铝塑门窗制品有限公司,申请
CN205153831U,天津创世经纬科技有限公司,申请
CN103473641A,上海大学,申请
CN203519608U,西南交通大学,申请
CN102602422A,南京贝奇尔机械有限公司,申请
CN101853572A,文华东,申请
CN101822082A,内数位科技公司 INTERDIGITAL TECHNOLOGY CORPORATION,申请
CN101822082A,内数位科技公司,申请
CN101822082A,交互数字技术公司,申请
CN102840883A,南京大学,申请
CN103116994A,方科峰,申请
CN202788903U,肖清华,申请
CN203597280U,扬州大学,申请
CN105019482A,招商局重庆交通科研设计院有限公司,申请
CN203905944U,刘素华,申请
CN204341018U,四川邮科通信技术有限公司,申请
CN204651825U,济宁市技师学院,申请
CN205243538U,德阳思远重工有限公司,申请
CN105610665A,哈尔滨工业大学（威海）,申请
CN105178825A,天津港峰铝塑门窗制品有限公司,申请
CN105178825A,天津创世经纬科技有限公司,申请
CN102777187A,岑益南,申请
CN202654994U,无锡格林波特科技有限公司,申请
CN204518171U,湖南恒瑞照明有限公司,申请
CN102750752A,山东康威通信技术股份有限公司,申请
CN202673366U,中铁二十一局集团有限公司,申请
CN101419441A,上海宝信软件股份有限公司,申请
CN102598626A,ＬＭ艾瑞克生（ＰＵＢＬ）电话公司,申请
CN102598626A,瑞典爱立信有限公司,申请
CN104968154A,刘地发,申请
CN103575255A,西南交通大学,申请
CN104618867A,山东康威通信技术股份有限公司,申请
CN202990843U,西安众智惠泽光电科技有限公司,申请
CN101713975A,中国矿业大学(北京),申请
CN101713975A,石家庄煤矿机械有限责任公司,申请
CN202238798U,大连现代辅机开发制造有限公司,申请
CN203814000U,陕西新航线交通科技有限公司,申请
CN202325622U,杭州新纪元消防科技有限公司,申请
CN106899628A,华耀（中国）科技有限公司,申请
CN101426126A,上海宝信软件股份有限公司,申请
CN202138964U,湖南五新重型装备有限公司,申请
CN201681294U,湖南大学,申请
CN201681294U,天正集团有限公司,申请
CN102373931A,江山,申请
CN102373931A,江龙飞,申请
CN106999257A,外科安全技术公司,申请
CN101453327A,北京鼎信高科信息技术有限公司,申请
CN102799182A,南京工程学院,申请
CN202883019U,中铁二十一局集团有限公司,申请
CN203387739U,瑞斯康微电子（深圳）有限公司,申请
CN202132057U,长安大学,申请
CN202132057U,中交第一公路勘察设计研究院有限公司,申请
CN202731995U,中铁二十一局集团有限公司,申请
CN202883018U,中铁二十一局集团有限公司,申请
CN104584479A,媒介访问系统私人有限公司,申请
CN104616904A,刘华映,申请
CN203476394U,太原铁路局侯马北工务段运城劳动服务公司,申请
CN103797888A,英特尔公司,申请
CN101388247A,英飞凌科技股份公司,申请
CN204788473U,国网安徽省电力公司蚌埠供电公司,申请
CN204788473U,安徽继远软件有限公司,申请
CN202176337U,湖南五新重型装备有限公司,申请
CN102883431A,重庆基伍科技有限公司,申请
CN202696986U,长安大学,申请
CN1963459A,中国矿业大学,申请
CN203797596U,重庆绿色科技开发有限公司,申请
CN105329834A,重庆恒宇华顿新能源开发有限公司,申请
CN103197644A,西南交通大学,申请
CN104918366A,山东百仕达轻工科技有限公司,申请
CN103839369A,中铁十八局集团隧道工程有限公司,申请
CN205066765U,上海海洋地质勘察设计有限公司,申请
CN102797504A,中铁二十一局集团有限公司,申请
CN203279289U,长沙理工大学,申请
CN106488278A,姜洪军,申请
CN105836359A,梧州市自动化技术研究开发院,申请
CN106415568A,飞比特网络股份有限公司,申请
CN202017965U,南宁凯美电子科技有限公司,申请
CN104079238A,重庆渝蓉高速公路有限公司,申请
CN202281134U,刘亢,申请
CN1651734A,张显荣,申请
CN1651734A,韩凤琳,申请
CN103791849A,武汉长澳大地工程有限公司,申请
CN202204538U,山东省特种设备检验研究院烟台分院,申请
CN202720517U,南京工程学院,申请
CN101605695A,罗捷瑞升有限公司,申请
CN103953349A,西南交通大学,申请
CN106869756A,天津港峰铝塑门窗制品有限公司,申请
CN106869756A,天津创世经纬科技有限公司,申请
CN102595679A,华东交通大学,申请
CN204423583U,华东交通大学,申请
CN105450521A,中国电子科技集团公司电子科学研究院,申请
CN204231536U,山东易构软件技术有限公司,申请
CN103852111A,天津大学,申请
CN103122769A,国家电网公司,申请
CN103122769A,淄博长安电力工具有限公司,申请
