名称,邮编
西南交通大学,610031.0
山东化氏鱼饵有限公司,276000.0
孙运吉,610031.0
魏敏吉,100191.0
枣庄力源电力设计有限公司,277100.0
国家电网公司,300384.0
国网山东省电力公司枣庄供电公司,710064.0
天津市顺通电子有限公司,250101.0
长安大学,
山东康威通信技术股份有限公司,471009.0
高通股份有限公司,610031.0
中铁隧道集团有限公司,255086.0
山东理工大学,310030.0
李浩,518055.0
吴巨芳,510640.0
汪正林,116026.0
中国科学院深圳先进技术研究院,330013.0
华南理工大学,430074.0
大连海事大学,300384.0
华东交通大学,443000.0
郭桂华,214174.0
宜昌劲森照明电子有限公司,610031.0
李超,610031.0
华中科技大学无锡研究院,519000.0
丘泓鲲,610031.0
郑国雄,518031.0
上海誉煊电子技术有限公司,201714.0
北京联合大学,100083.0
北京科技大学,
马维尔国际贸易有限公司,272112.0
中铁十四局集团第五工程有限公司,300203.0
天津宏通盛富科技有限公司,710043.0
中铁第一勘察设计院集团有限公司,400039.0
重庆瑞升康博电气有限公司,250061.0
山东大学,250101.0
张逸伦,330013.0
浙江省机电设计研究院有限公司,310002.0
杭州华能大坝安全工程技术有限公司,610031.0
天津市建筑科学研究院有限公司,310000.0
苏州汉明科技有限公司,300193.0
南京理工大学,250061.0
贵州现代物流工程技术研究有限责任公司,215123.0
王大伟,210094.0
成都慧拓自动控制技术有限公司,550022.0
重庆兆迈机械技术研发有限公司,550022.0
陕西新航线交通科技有限公司,300162.0
四川太一新能源开发有限公司,610041.0
南通源瑞电子有限公司,409600.0
深圳市信锐网科技术有限公司,710077.0
同济大学,611130.0
文怡,226500.0
武汉万集信息技术有限公司,518000.0
重庆高卓动漫有限公司,610031.0
天津艾思科尔科技有限公司,610031.0
北京同仁堂健康药业（福州）有限公司,200092.0
福建中源合纵节能科技有限公司,401520.0
重庆恒宇华顿新能源开发有限公司,430070.0
上海市第二市政工程有限公司,400020.0
南通杰宁照明电器有限公司,300457.0
中南大学,350002.0
西安众智惠泽光电科技有限公司,361000.0
泰华智慧产业集团股份有限公司,400026.0
吉林大学,200065.0
德阳思远重工有限公司,226010.0
贵州独平高速公路有限公司,410083.0
上海同岩土木工程科技有限公司,710075.0
贵州省交通规划勘察设计研究院股份有限公司,250101.0
诸暨市亿霸龙保温材料有限公司,130012.0
陕西科技大学,618000.0
3D-奥克赛茨公司,200092.0
华为技术有限公司,
成都点金机械铸造技术开发有限公司,300457.0
安徽省德诺电子科技有限公司,311802.0
武汉飞脉科技有限责任公司,710021.0
交科院（北京）交通技术有限公司,
山东科技大学,518129.0
西安建筑科技大学,610000.0
中国电信股份有限公司,230000.0
北京兴迪仪器有限责任公司,100013.0
