专利,专利与发明人,专利与ipc,专利与申请人,专利与代理机构,专利与专利
14,27,24,15,12,1
18,42,37,20,15,2
29,66,56,31,23,4
38,110,77,40,31,6
66,265,154,71,56,25
109,440,268,119,96,57
157,637,411,178,130,81
221,847,560,251,174,109
327,1265,765,364,247,157
492,1901,1065,568,375,262
638,2474,1382,737,489,324
821,3268,1744,954,630,425
1083,4364,2360,1254,825,509
1373,5842,3107,1600,1055,640
1850,8011,4244,2157,1456,845
2320,10564,5461,2744,1868,1023
2928,14014,7404,3477,2374,1200
3804,19172,10598,4605,3137,1334
4700,24766,14002,5797,3951,1397
5555,30553,17397,6965,4744,1414
5803,32349,18406,7305,4977,1414
